-4813	-2740	8833
-4487	-2594	8650
-4679	-2744	8835
-4276	-2758	8905
-4201	-3134	8627
-4519	-2624	8681
-4181	-2884	8439
-4224	-3321	8815
-3931	-3113	8820
-4671	-3272	8276
-4527	-3527	8311
-4740	-2898	8835
-5066	-2448	8389
-3930	-4605	7797
-5643	-3856	7012
-5262	-3811	7768
-6307	-2683	7649
-6929	-2286	7323
-6846	-3065	6704
-6027	-3252	7282
-5705	-1675	7842
-5332	-1565	8380
-4791	-3766	8058
-4129	-3632	7975
-3802	-2242	8505
-4033	-2389	8377
-3790	-2462	8725
-3807	-965	8904
-3855	315	8834
-3394	-355	8940
-3164	944	9468
-1513	2416	9553
-1606	2828	8987
-1452	10	9911
-984	1680	9598
1874	2801	9332
5061	4200	7572
5593	6885	3912
4205	8601	1004
2565	9213	1970
-37	8253	5395
-3537	6087	6779
-1708	6963	6308
2258	5918	7417
9728	577	2179
7302	-1881	-6879
8347	-304	-5150
5292	-7149	5137
2346	4223	8771
6805	4829	-4457
7464	-5964	-2762
-4416	-2288	9431
-3163	8038	-4563
8988	-142	-4515
8742	-3949	3091
-3185	9028	2927
-3151	8445	-4878
6362	-7848	569
-8254	139	5568
-4372	8204	-4618
4239	-8892	-651
-6443	-5198	6285
-1747	8141	-3663
6242	-7984	-2399
-7479	451	6486
-5528	7868	-4544
6734	-7504	-1955
2938	-8876	4541
503	8989	-1440
3556	8746	-4537
1698	-8092	5764
-1999	7135	-6443
3487	9975	-672
-4140	-5747	6924
-4264	3886	-8779
-7165	8122	-764
-1719	2085	8614
-10560	-550	-2592
-8018	-1616	-6070
-5158	-955	9848
-9305	-4751	-891
-3563	-2625	-8887
-7151	2405	6419
-8036	-4727	4254
536	-4447	-9239
-2923	-1153	9359
-9081	2804	2383
1576	-5141	-8561
-6841	-3870	5490
-8154	-3474	3964
-2416	6619	-6541
-6676	-6081	-2085
-5824	-4813	6201
-3411	7732	-4160
-6883	-4951	-2064
-7163	-2772	6415
3369	3470	-8480
-7609	-5318	1110
-6727	3608	6421
-7823	2267	-4244
-7239	-639	-7060
-6928	-538	7189
-9277	-623	3054
46	-3211	-9786
-5564	-3699	6231
-8389	144	5471
-1696	-1093	-9642
-9578	763	2197
-3622	-5955	7404
-4757	-3717	-7092
-10301	3949	199
2247	-7333	6207
-1498	-6917	-6921
-8863	3221	-1019
1111	6330	7613
-3156	-6772	-6077
914	-9402	-865
2038	6836	6440
-1888	-7812	-6330
886	-9319	1257
3207	7083	5211
2534	-8592	-5276
8348	-5349	-844
1394	7549	5550
8955	2370	-1561
6610	-5551	-4655
483	-7121	6892
8781	47	2258
5985	2783	-7491
10447	-718	668
-1041	-1034	10205
10420	-4316	2874
-2384	735	-8977
6812	6968	-1875
9144	1497	3038
-1790	-8729	-4730
7702	5295	-3849
8090	-4333	3206
605	-10215	-4522
5293	5108	-6110
6468	-5011	6085
10283	-1949	-1451
4237	1075	-9544
6814	-3339	6363
7782	4502	3840
3862	-3567	-8277
9273	-3595	3599
4191	6521	4982
7005	-1	-6614
8659	-5107	-1558
-3307	3039	9454
2958	4135	-7772
-1318	-8420	4554
3359	6579	5216
7010	1899	-6249
6253	-6199	-3658
-1105	3151	9588
7079	3017	-5785
7254	-353	-6482
3015	-5311	8241
8445	4018	2699
539	-78	-9544
8884	-491	3106
8876	212	5695
2550	478	-9791
5433	-3391	7400
7571	5271	1333
6575	-4110	-5475
-2719	-1695	10240
1153	7087	-5853
8817	80	-4300
-5839	1600	8791
-3566	5571	-7494
2626	-8986	3724
-4323	8644	378
-4152	7017	-5763
953	-6921	7399
256	9371	-1384
-4457	5598	-6917
6158	-5841	5740
-8056	1038	5410
-6506	4766	-7357
7954	3979	1441
-6329	-7028	3642
-4761	5146	-7951
6582	-2048	5478
-7656	-5145	4139
-8336	866	-7463
1970	8092	5307
-9352	245	4266
-3991	-330	-9438
-9014	3852	4316
-5367	152	8057
