Sensor ID 	electronic compass(original data)x	y	z	
161						-5586	3462	11561
161						-96	4	308
161						-96	4	308
161						-96	4	308
161						-99	14	311
161						-99	14	311
161						-99	14	311
161						-101	12	296
161						-101	12	296
161						-101	12	296
161						-101	7	309
161						-101	7	309
161						-101	7	309
161						-111	14	296
161						-111	14	296
161						-111	14	296
161						-100	9	301
161						-100	9	301
161						-100	9	301
161						-104	19	291
161						-104	19	291
161						-104	19	291
161						-104	7	305
161						-104	7	305
161						-104	7	305
161						-112	11	301
161						-112	11	301
161						-112	11	301
161						-106	10	293
161						-106	10	293
161						-106	10	293
161						-100	18	306
161						-100	18	306
161						-100	18	306
161						-96	20	301
161						-96	20	301
161						-96	20	301
161						-108	10	296
161						-108	10	296
161						-108	10	296
161						-101	7	307
161						-101	7	307
161						-101	7	307
161						-106	10	298
161						-106	10	298
161						-106	10	298
161						-97	12	302
161						-97	12	302
161						-97	12	302
161						-96	15	299
161						-96	15	299
161						-96	15	299
161						-91	9	299
161						-91	9	299
161						-91	9	299
161						-104	14	309
161						-104	14	309
161						-104	14	309
161						-98	25	303
161						-98	25	303
161						-98	25	303
161						-89	15	301
161						-89	15	301
161						-89	15	301
161						-91	18	301
161						-91	18	301
161						-91	18	301
161						-89	31	306
161						-89	31	306
161						-89	31	306
161						-82	27	310
161						-82	27	310
161						-82	27	310
161						-82	36	301
161						-82	36	301
161						-82	36	301
161						-81	42	302
161						-81	42	302
161						-81	42	302
161						-68	36	306
161						-68	36	306
161						-68	36	306
161						-73	38	306
161						-73	38	306
161						-73	38	306
161						-73	34	310
161						-73	34	310
161						-73	34	310
161						-69	30	307
161						-69	30	307
161						-69	30	307
161						-68	43	308
161						-68	43	308
161						-68	43	308
161						-75	41	308
161						-75	41	308
161						-75	41	308
161						-66	41	306
161						-66	41	306
161						-66	41	306
161						-69	44	307
161						-69	44	307
161						-69	44	307
161						-52	43	312
161						-52	43	312
161						-52	43	312
161						-59	41	303
161						-59	41	303
161						-59	41	303
161						-62	53	300
161						-62	53	300
161						-62	53	300
161						-48	50	303
161						-48	50	303
161						-48	50	303
161						-51	49	300
161						-51	49	300
161						-51	49	300
161						-46	49	309
161						-46	49	309
161						-46	49	309
161						-43	54	303
161						-43	54	303
161						-43	54	303
161						-35	44	309
161						-35	44	309
161						-35	44	309
161						-36	68	306
161						-36	68	306
161						-36	68	306
161						-25	45	301
161						-25	45	301
161						-25	45	301
161						-30	67	298
161						-30	67	298
161						-30	67	298
161						-18	54	315
161						-18	54	315
161						-18	54	315
161						-13	63	308
161						-13	63	308
161						-13	63	308
161						-10	69	302
161						-10	69	302
161						-10	69	302
161						-12	69	309
161						-12	69	309
161						-12	69	309
161						-16	61	301
161						-16	61	301
161						-16	61	301
161						-4	45	299
161						-4	45	299
161						-4	45	299
161						0	63	308
161						0	63	308
161						0	63	308
161						9	59	297
161						9	59	297
161						9	59	297
161						26	53	307
161						26	53	307
161						26	53	307
161						25	59	308
161						25	59	308
161						25	59	308
161						52	47	321
161						52	47	321
161						52	47	321
161						73	38	306
161						73	38	306
161						73	38	306
161						84	18	315
161						84	18	315
161						84	18	315
161						89	11	306
161						89	11	306
161						89	11	306
161						92	5	309
161						92	5	309
161						92	5	309
161						112	0	317
161						112	0	317
161						112	0	317
161						101	-12	318
161						101	-12	318
161						101	-12	318
161						103	-9	319
161						103	-9	319
161						103	-9	319
161						112	-13	310
161						112	-13	310
161						112	-13	310
161						111	-14	316
161						111	-14	316
161						111	-14	316
161						114	-25	315
161						114	-25	315
161						114	-25	315
161						108	-33	318
161						108	-33	318
161						108	-33	318
161						114	-47	319
161						114	-47	319
161						114	-47	319
161						107	-50	317
161						107	-50	317
161						107	-50	317
161						120	-62	320
161						120	-62	320
161						120	-62	320
161						112	-88	317
161						112	-88	317
161						112	-88	317
161						105	-91	326
161						105	-91	326
161						105	-91	326
161						98	-120	312
161						98	-120	312
161						98	-120	312
161						78	-156	320
161						78	-156	320
161						78	-156	320
161						75	-145	319
161						75	-145	319
161						75	-145	319
161						61	-159	326
161						61	-159	326
161						61	-159	326
161						50	-171	319
161						50	-171	319
161						50	-171	319
161						33	-172	320
161						33	-172	320
161						33	-172	320
161						42	-176	331
161						42	-176	331
161						42	-176	331
161						37	-179	322
161						37	-179	322
161						37	-179	322
161						29	-171	319
161						29	-171	319
161						29	-171	319
161						41	-173	330
161						41	-173	330
161						41	-173	330
161						57	-157	319
161						57	-157	319
161						57	-157	319
161						57	-168	323
161						57	-168	323
161						57	-168	323
161						64	-159	326
161						64	-159	326
161						64	-159	326
161						73	-161	319
161						73	-161	319
161						73	-161	319
161						78	-138	313
161						78	-138	313
161						78	-138	313
161						92	-144	322
161						92	-144	322
161						92	-144	322
161						111	-119	316
